guid,nyu.libraries.collection,dc.title,dc.identifier,dc.source,dc.language,dc.extent,dc.extent,dc.coverage.temporal,dc.coverage.temporal,dc.accrualPeriodicity,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.jurisdiction
aggregatedNewspapers3731,AggregatedNewspapers,"Industries in Transition News",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1994,02/01/2004,,,,,,
aggregatedNewspapers3732,AggregatedNewspapers,"Industry Week",,"Lexis-Nexis","English","Full-text","Full-text",01/12/1981,,,,,,,
aggregatedNewspapers3733,AggregatedNewspapers,"Industry Week Growing Companies Edition",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",03/01/1999,,,,,,,
aggregatedNewspapers3734,AggregatedNewspapers,"Information Advisor Knowledge Management Supplement",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",03/01/1997,12/01/2000,,,,,,
aggregatedNewspapers3735,AggregatedNewspapers,"Information Bank Abstracts",,"Lexis-Nexis","English","Abstract-Summaries-Briefs","Abstract-Summaries-Briefs",01/01/1969,,,,,,,
aggregatedNewspapers3736,AggregatedNewspapers,"Information Paper on Space-to-Space Applications of the Global Positioning System",,"Lexis-Nexis","English","Full-text","Full-text",03/16/1998,,,,,,,
aggregatedNewspapers3737,AggregatedNewspapers,"Information Security",,"Lexis-Nexis","English","Full-text","Full-text",12/01/1997,,,,,,,
aggregatedNewspapers3738,AggregatedNewspapers,"Information Technologies in the Development Strategies of Asia",,"Lexis-Nexis","English","Full-text","Full-text",09/01/1999,,,,,,,
aggregatedNewspapers3739,AggregatedNewspapers,"Information Technology and the New Economy",,"Lexis-Nexis","English","Full-text","Full-text",07/01/2001,,,,,,,
aggregatedNewspapers3740,AggregatedNewspapers,"Information Week Across the Business Supplement",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",,,,,,,,
aggregatedNewspapers3741,AggregatedNewspapers,"Information Week Remote Access Supplement",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",02/24/1997,02/24/1997,,,,,,
aggregatedNewspapers3742,AggregatedNewspapers,"InformationWeek",,"Lexis-Nexis","English","Full-text","Full-text",01/07/1991,,,,,,,
aggregatedNewspapers3743,AggregatedNewspapers,"InfoStor",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1999,,,,,,,
aggregatedNewspapers3744,AggregatedNewspapers,"Info-Tech Magazine",,"Lexis-Nexis","French","Indexes","Indexes",04/01/1993,,,,,,,
aggregatedNewspapers3745,AggregatedNewspapers,"Infotech Weekly",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",10/28/1997,06/30/2003,,,,,,
aggregatedNewspapers3746,AggregatedNewspapers,"Infovest21 News",,"Lexis-Nexis","English","Full-text","Full-text",11/30/1999,,,,,,,
aggregatedNewspapers3747,AggregatedNewspapers,"Infovest21 White Papers",,"Lexis-Nexis","English","Full-text","Full-text",04/01/1999,,,,,,,
aggregatedNewspapers3748,AggregatedNewspapers,"InfoWorld",,"Lexis-Nexis","English","Full-text","Full-text",07/04/1983,,,,,,,
aggregatedNewspapers3749,AggregatedNewspapers,"InfoWorld Daily",,"Lexis-Nexis","English","Full-text","Full-text",09/01/1997,,,,,,,
aggregatedNewspapers3750,AggregatedNewspapers,"Ink Maker",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2004,06/01/2005,,,,,,
aggregatedNewspapers3751,AggregatedNewspapers,"Inland Valley Daily Bulletin (Ontario, CA)",,"Lexis-Nexis","English","Full-text","Full-text",04/29/2002,,,,,,,
aggregatedNewspapers3752,AggregatedNewspapers,"Innisfail Advocate",,"Lexis-Nexis","English","Full-text","Full-text",01/11/2001,,,,,,,
aggregatedNewspapers3753,AggregatedNewspapers,"In-Plant Graphics",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1997,,,,,,,
aggregatedNewspapers3754,AggregatedNewspapers,"Inside Bay Area (California)",,"Lexis-Nexis","English","Full-text","Full-text",07/24/2004,,,,,,,
aggregatedNewspapers3755,AggregatedNewspapers,"Inside Billing",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/25/1999,07/30/1999,,,,,,
aggregatedNewspapers3756,AggregatedNewspapers,"Inside Business",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1997,,,,,,,
aggregatedNewspapers3757,AggregatedNewspapers,"Inside Business Ohio Family Business Supplement",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",,,,,,,,
aggregatedNewspapers3758,AggregatedNewspapers,"Inside CMS",,"Lexis-Nexis","English","Full-text","Full-text",06/20/2002,,,,,,,
aggregatedNewspapers3759,AggregatedNewspapers,"Inside Cosmetics",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1997,05/01/1999,,,,,,
aggregatedNewspapers3760,AggregatedNewspapers,"Inside Digital TV",,"Lexis-Nexis","English","Full-text","Full-text",10/05/1998,,,,,,,
aggregatedNewspapers3761,AggregatedNewspapers,"Inside Energy/with Federal Lands",,"Lexis-Nexis","English","Full-text","Full-text",01/09/1981,,,,,,,
aggregatedNewspapers3762,AggregatedNewspapers,"Inside F.E.R.C.",,"Lexis-Nexis","English","Full-text","Full-text",01/05/1981,,,,,,,
aggregatedNewspapers3763,AggregatedNewspapers,"Inside F.E.R.C.'s Gas Market Report",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1989,,,,,,,
aggregatedNewspapers3764,AggregatedNewspapers,"Inside FAA",,"Lexis-Nexis","English","Full-text","Full-text",02/15/2005,08/30/2005,,,,,,
aggregatedNewspapers3765,AggregatedNewspapers,"Inside Fuels & Vehicles",,"Lexis-Nexis","English","Full-text","Full-text",04/24/2002,,,,,,,
aggregatedNewspapers3766,AggregatedNewspapers,"Inside Green Business",,"Lexis-Nexis","English","Full-text","Full-text",05/17/2006,,,,,,,
aggregatedNewspapers3767,AggregatedNewspapers,"Inside Missile Defense",,"Lexis-Nexis","English","Full-text","Full-text",07/10/2002,,,,,,,
aggregatedNewspapers3768,AggregatedNewspapers,"Inside Multimedia",,"Lexis-Nexis","English","Full-text","Full-text",03/03/1997,10/23/2000,,,,,,
aggregatedNewspapers3769,AggregatedNewspapers,"Inside N.R.C.",,"Lexis-Nexis","English","Full-text","Full-text",01/12/1981,,,,,,,
aggregatedNewspapers3770,AggregatedNewspapers,"Inside OSHA",,"Lexis-Nexis","English","Full-text","Full-text",07/08/2002,,,,,,,
aggregatedNewspapers3771,AggregatedNewspapers,"Inside the Air Force",,"Lexis-Nexis","English","Full-text","Full-text",06/28/2002,,,,,,,
aggregatedNewspapers3772,AggregatedNewspapers,"Inside the Army",,"Lexis-Nexis","English","Full-text","Full-text",07/08/2002,,,,,,,
aggregatedNewspapers3773,AggregatedNewspapers,"Inside the Navy",,"Lexis-Nexis","English","Full-text","Full-text",07/08/2002,,,,,,,
aggregatedNewspapers3774,AggregatedNewspapers,"Inside the Pentagon",,"Lexis-Nexis","English","Full-text","Full-text",07/03/2002,,,,,,,
aggregatedNewspapers3775,AggregatedNewspapers,"Inside U.S. Trade",,"Lexis-Nexis","English","Full-text","Full-text",10/21/2005,,,,,,,
aggregatedNewspapers3776,AggregatedNewspapers,"Inside US-China Trade",,"Lexis-Nexis","English","Full-text","Full-text",02/22/2006,,,,,,,
aggregatedNewspapers3777,AggregatedNewspapers,"Insight on the News",,"Lexis-Nexis","English","Full-text","Full-text",10/10/1994,05/24/2004,,,,,,
aggregatedNewspapers3778,AggregatedNewspapers,"Insights",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1990,,,,,,,
aggregatedNewspapers3779,AggregatedNewspapers,"Institutional Economics",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2006,,,,,,,
aggregatedNewspapers3780,AggregatedNewspapers,"Institutional Review Boards: Their Role in Reviewing Approved Research",,"Lexis-Nexis","English","Full-text","Full-text",06/01/1998,,,,,,,
aggregatedNewspapers3781,AggregatedNewspapers,"Instrumentation & Control Systems",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",03/01/1996,,,,,,,
aggregatedNewspapers3782,AggregatedNewspapers,"Insurance & Technology",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2001,,,,,,,
aggregatedNewspapers3783,AggregatedNewspapers,"Insurance Chronicle",,"Lexis-Nexis","English","Full-text","Full-text",02/01/1999,,,,,,,
aggregatedNewspapers3784,AggregatedNewspapers,"Insurance Industry International",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1995,06/01/1996,,,,,,
aggregatedNewspapers3785,AggregatedNewspapers,"Insurance Issues Update",,"Lexis-Nexis","English","Full-text","Full-text",07/01/2000,,,,,,,
aggregatedNewspapers3786,AggregatedNewspapers,"Insurance Law & Litigation Week",,"Lexis-Nexis","English","Full-text","Full-text",11/01/2004,,,,,,,
aggregatedNewspapers3787,AggregatedNewspapers,"Insurance Network News",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",12/07/1996,10/07/1997,,,,,,
aggregatedNewspapers3788,AggregatedNewspapers,"Insurance Networking",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",05/01/1998,,,,,,,
aggregatedNewspapers3789,AggregatedNewspapers,"Insurance Networking & Data Management",,"Lexis-Nexis","English","Full-text","Full-text",07/01/2000,,,,,,,
aggregatedNewspapers3790,AggregatedNewspapers,"Insurance Scrawl",,"Lexis-Nexis","English","Full-text","Full-text",08/01/2006,,,,,,,
aggregatedNewspapers3791,AggregatedNewspapers,"Insurers' Ability to Pay Catastrophe Claims",,"Lexis-Nexis","English","Full-text","Full-text",02/08/2000,,,,,,,
aggregatedNewspapers3792,AggregatedNewspapers,"Integrating New Allies into NATO",,"Lexis-Nexis","English","Full-text","Full-text",10/01/2000,,,,,,,
aggregatedNewspapers3793,AggregatedNewspapers,"Intellectual Property",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3794,AggregatedNewspapers,"Intellectual Property Assets in Mergers & Acquisitions",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3795,AggregatedNewspapers,"Intellectual Property Damages: Guideline & Analysis",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3796,AggregatedNewspapers,"Intellectual Property Infringement Damages: A Litigation Support Handbook Supplement Only",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3797,AggregatedNewspapers,"Intellectual Property Supplement Only",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3798,AggregatedNewspapers,"Intellectual Property Today",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1994,07/01/2006,,,,,,
aggregatedNewspapers3799,AggregatedNewspapers,"Intelligence et Stratﾎgie",,"Lexis-Nexis","French","Selected Full-text","Selected Full-text",12/01/2000,05/22/2006,,,,,,
aggregatedNewspapers3800,AggregatedNewspapers,"Intelligence Issues for Congress",,"Lexis-Nexis","English","Full-text","Full-text",09/28/2001,,,,,,,
aggregatedNewspapers3801,AggregatedNewspapers,"Intelligencer Journal",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1997,,,,,,,
aggregatedNewspapers3802,AggregatedNewspapers,"Intelligent Enterprise",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2001,,,,,,,
aggregatedNewspapers3803,AggregatedNewspapers,"Intelligent Network News",,"Lexis-Nexis","English","Full-text","Full-text",01/10/1996,06/07/2000,,,,,,
aggregatedNewspapers3804,AggregatedNewspapers,"Inter Press Service",,"Lexis-Nexis","English","Full-text","Full-text",04/01/1984,,,,,,,
aggregatedNewspapers3805,AggregatedNewspapers,"Interactive Age",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/16/1995,08/28/1995,,,,,,
aggregatedNewspapers3806,AggregatedNewspapers,"Interactive Daily",,"Lexis-Nexis","English","Full-text","Full-text",01/02/1996,06/06/1997,,,,,,
aggregatedNewspapers3807,AggregatedNewspapers,"Interactive Marketing News",,"Lexis-Nexis","English","Full-text","Full-text",01/05/1996,04/25/1997,,,,,,
aggregatedNewspapers3808,AggregatedNewspapers,"Interactive PR & Marketing News",,"Lexis-Nexis","English","Full-text","Full-text",05/02/1997,12/10/1999,,,,,,
aggregatedNewspapers3809,AggregatedNewspapers,"Interactive Video News",,"Lexis-Nexis","English","Full-text","Full-text",01/06/1996,06/23/1997,,,,,,
aggregatedNewspapers3810,AggregatedNewspapers,"Interagency Report on the Federal Investment In Microbial Genomics",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1996,,,,,,,
aggregatedNewspapers3811,AggregatedNewspapers,"Interface-Customer Support Technology",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",,,,,,,,
aggregatedNewspapers3812,AggregatedNewspapers,"Interim Report for the President",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1997,,,,,,,
aggregatedNewspapers3813,AggregatedNewspapers,"Interim Report of the Federal Trade Commission Midwest Gasoline Price Investigation",,"Lexis-Nexis","English","Full-text","Full-text",07/28/2000,,,,,,,
aggregatedNewspapers3814,AggregatedNewspapers,"Interior Design",,"Lexis-Nexis","English","Full-text","Full-text",12/01/2000,,,,,,,
aggregatedNewspapers3815,AggregatedNewspapers,"Intermodal Shipping",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",08/24/1997,01/18/1998,,,,,,
aggregatedNewspapers3816,AggregatedNewspapers,"Intermountain Contractor",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2000,08/01/2003,,,,,,
aggregatedNewspapers3817,AggregatedNewspapers,"International Accounting Bulletin",,"Lexis-Nexis","English","Full-text","Full-text",01/17/1994,,,,,,,
aggregatedNewspapers3818,AggregatedNewspapers,"International Banker",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/04/1999,,,,,,,
aggregatedNewspapers3819,AggregatedNewspapers,"International Banking Regulator",,"Lexis-Nexis","English","Full-text","Full-text",01/10/1991,07/12/1999,,,,,,
aggregatedNewspapers3820,AggregatedNewspapers,"International Construction Review",,"Lexis-Nexis","English","Full-text","Full-text",10/01/1996,01/01/2000,,,,,,
aggregatedNewspapers3821,AggregatedNewspapers,"International contributions to the war against terrorism",,"Lexis-Nexis","English","Full-text","Full-text",06/07/2002,,,,,,,
aggregatedNewspapers3822,AggregatedNewspapers,"International Enforcement Law Reporter",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1995,,,,,,,
aggregatedNewspapers3823,AggregatedNewspapers,"International Engineering Review",,"Lexis-Nexis","English","Full-text","Full-text",10/01/1996,02/01/2000,,,,,,
aggregatedNewspapers3824,AggregatedNewspapers,"International Finance and Accounting Handbook",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3825,AggregatedNewspapers,"International Financial Adviser",,"Lexis-Nexis","English","Full-text","Full-text",01/05/2001,08/07/2002,,,,,,
aggregatedNewspapers3826,AggregatedNewspapers,"International Food Ingredients",,"Lexis-Nexis","English","Abstract-Summaries-Briefs; Selected Full-text","Abstract-Summaries-Briefs; Selected Full-text",05/01/1999,,,,,,,
aggregatedNewspapers3827,AggregatedNewspapers,"International Food Manufacture",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",03/01/1996,11/01/1996,,,,,,
aggregatedNewspapers3828,AggregatedNewspapers,"International Herald Tribune",,"Lexis-Nexis","English","Full-text","Full-text",07/01/1991,,,,,,,
aggregatedNewspapers3829,AggregatedNewspapers,"International Journal",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",03/01/1987,,,,,,,
aggregatedNewspapers3830,AggregatedNewspapers,"International Journal of Humanities & Peace (The)",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/2001,,,,,,,
aggregatedNewspapers3831,AggregatedNewspapers,"International Law Update",,"Lexis-Nexis","English","Full-text","Full-text",10/01/1995,,,,,,,
aggregatedNewspapers3832,AggregatedNewspapers,"International Manufacturing Review",,"Lexis-Nexis","English","Full-text","Full-text",10/01/1996,03/01/2000,,,,,,
aggregatedNewspapers3833,AggregatedNewspapers,"International Market Insight Trade Inquiries",,"Lexis-Nexis","English","Full-text","Full-text",07/01/1997,06/28/2002,,,,,,
aggregatedNewspapers3834,AggregatedNewspapers,"International Medical Device Regulatory Monitor",,"Lexis-Nexis","English","Full-text","Full-text",07/18/2006,,,,,,,
aggregatedNewspapers3835,AggregatedNewspapers,"International Mergers & Acquisitions: Country by Country Tax Guide",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3836,AggregatedNewspapers,"International Oil Daily",,"Lexis-Nexis","English","Full-text","Full-text",04/22/2002,,,,,,,
aggregatedNewspapers3837,AggregatedNewspapers,"International Peace Update",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",06/01/1995,,,,,,,
aggregatedNewspapers3838,AggregatedNewspapers,"International Petroleum Finance",,"Lexis-Nexis","English","Full-text","Full-text",05/06/2002,,,,,,,
aggregatedNewspapers3839,AggregatedNewspapers,"International Pharmaceutical Regulatory Monitor",,"Lexis-Nexis","English","Full-text","Full-text",07/18/2006,,,,,,,
aggregatedNewspapers3840,AggregatedNewspapers,"International Retail Review",,"Lexis-Nexis","English","Full-text","Full-text",11/18/1997,12/01/1999,,,,,,
aggregatedNewspapers3841,AggregatedNewspapers,"International Security",,"Lexis-Nexis","English (Default)","Full-text","Full-text",01/01/2001,,,,,,,
aggregatedNewspapers3842,AggregatedNewspapers,"International Trade Finance",,"Lexis-Nexis","English","Abstract-Summaries-Briefs; Selected Full-text","Abstract-Summaries-Briefs; Selected Full-text",09/10/1986,12/16/1999,,,,,,
aggregatedNewspapers3843,AggregatedNewspapers,"International Trafficking in Women to the United States: A Contemporary Manifestation of Slavery and Organized Crime",,"Lexis-Nexis","English","Full-text","Full-text",11/01/1999,,,,,,,
aggregatedNewspapers3844,AggregatedNewspapers,"International Water Power & Dam Construction Yearbook",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1997,01/01/1997,,,,,,
aggregatedNewspapers3845,AggregatedNewspapers,"Internet Based Commerce: Implications for Rural Communities",,"Lexis-Nexis","English","Full-text","Full-text",09/01/2000,,,,,,,
aggregatedNewspapers3846,AggregatedNewspapers,"Internet Business News",,"Lexis-Nexis","English","Full-text","Full-text",09/01/1994,,,,,,,
aggregatedNewspapers3847,AggregatedNewspapers,"Internet For Business",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",05/01/1996,01/01/1998,,,,,,
aggregatedNewspapers3848,AggregatedNewspapers,"Internet Pharmacies: Adding Disclosure Requirements Would Aid State and Federal Oversight",,"Lexis-Nexis","English","Full-text","Full-text",10/19/2000,,,,,,,
aggregatedNewspapers3849,AggregatedNewspapers,"Internet Retailer",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",07/01/1999,,,,,,,
aggregatedNewspapers3850,AggregatedNewspapers,"Internet Voting: Issues and Legislation",,"Lexis-Nexis","English","Full-text","Full-text",08/01/2000,,,,,,,
aggregatedNewspapers3851,AggregatedNewspapers,"Internet Week",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1996,05/11/1998,,,,,,
aggregatedNewspapers3852,AggregatedNewspapers,"Internet World",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1997,09/01/2001,,,,,,
aggregatedNewspapers3853,AggregatedNewspapers,"InternetWeek Telepath Supplement",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",09/01/1997,12/01/1997,,,,,,
aggregatedNewspapers3854,AggregatedNewspapers,"Interpress Service",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",08/04/1992,,,,,,,
aggregatedNewspapers3855,AggregatedNewspapers,"Interpreting Shadows: Arms Control and Defense Planning in a Rapidly Changing Multi-Polar World",,"Lexis-Nexis","English","Full-text","Full-text",06/01/1999,,,,,,,
aggregatedNewspapers3856,AggregatedNewspapers,"Interspace",,"Lexis-Nexis","English","Full-text","Full-text",01/15/1997,09/10/2003,,,,,,
aggregatedNewspapers3857,AggregatedNewspapers,"Intervening with High-Risk Youth",,"Lexis-Nexis","English","Full-text","Full-text",04/01/1996,,,,,,,
aggregatedNewspapers3858,AggregatedNewspapers,"Intrusion Detection Systems",,"Lexis-Nexis","English","Full-text","Full-text",08/01/2001,,,,,,,
aggregatedNewspapers3859,AggregatedNewspapers,"Inuktitut",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",09/01/1987,,,,,,,
aggregatedNewspapers3860,AggregatedNewspapers,"Inventory Management Report",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1996,01/01/2005,,,,,,
aggregatedNewspapers3861,AggregatedNewspapers,"Investing Wisely in Crime Prevention International Experiences",,"Lexis-Nexis","English","Full-text","Full-text",09/01/2000,,,,,,,
aggregatedNewspapers3862,AggregatedNewspapers,"Investment Adviser",,"Lexis-Nexis","English","Full-text","Full-text",05/01/2001,,,,,,,
aggregatedNewspapers3863,AggregatedNewspapers,"Investment Dealers' Digest",,"Lexis-Nexis","English","Full-text","Full-text",01/08/1990,,,,,,,
aggregatedNewspapers3864,AggregatedNewspapers,"Investment Management Weekly",,"Lexis-Nexis","English","Full-text","Full-text",09/22/1997,,,,,,,
aggregatedNewspapers3865,AggregatedNewspapers,"Investor Relations Business",,"Lexis-Nexis","English","Full-text","Full-text",04/01/1996,12/22/2003,,,,,,
aggregatedNewspapers3866,AggregatedNewspapers,"Investor's Business Daily",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1998,,,,,,,
aggregatedNewspapers3867,AggregatedNewspapers,"Investors Chronicle",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",09/26/1997,12/05/1997,,,,,,
aggregatedNewspapers3868,AggregatedNewspapers,"Investor's Digest",,"Lexis-Nexis","English","Indexes","Indexes",01/24/1992,,,,,,,
aggregatedNewspapers3869,AggregatedNewspapers,"Investors Digest (Malaysia)",,"Lexis-Nexis","English","Full-text","Full-text",01/16/1995,06/16/2004,,,,,,
aggregatedNewspapers3870,AggregatedNewspapers,"Iowa Employment Law Letter",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1995,,,,,,,
aggregatedNewspapers3871,AggregatedNewspapers,"Iowa State Daily",,"Lexis-Nexis","English","Full-text","Full-text",09/02/1997,,,,,,,
aggregatedNewspapers3872,AggregatedNewspapers,"IPO Reporter",,"Lexis-Nexis","English","Full-text","Full-text",01/01/1990,09/09/2002,,,,,,
aggregatedNewspapers3873,AggregatedNewspapers,"IPS - Inter Press Service - Spanish",,"Lexis-Nexis","Spanish","Full-text","Full-text",01/02/2004,,,,,,,
aggregatedNewspapers3874,AggregatedNewspapers,"Iraq: Oil-for-food program, international sanctions, and illicit trade",,"Lexis-Nexis","English","Full-text","Full-text",05/19/2003,,,,,,,
aggregatedNewspapers3875,AggregatedNewspapers,"Iraqi Chemical & Biological Weapons (CBW) Capabilities",,"Lexis-Nexis","English","Full-text","Full-text",02/17/1998,,,,,,,
aggregatedNewspapers3876,AggregatedNewspapers,"Iris-A Journal About Women",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/1992,,,,,,,
aggregatedNewspapers3877,AggregatedNewspapers,"Irish America",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",01/01/2003,,,,,,,
aggregatedNewspapers3878,AggregatedNewspapers,"Irish Business & Financial Digest",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",04/01/1997,10/01/1997,,,,,,
aggregatedNewspapers3879,AggregatedNewspapers,"Irish Business Digest",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",11/01/1997,11/01/1998,,,,,,
aggregatedNewspapers3880,AggregatedNewspapers,"Irish Business Digest Supplement",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",11/01/1998,11/01/1998,,,,,,
aggregatedNewspapers3881,AggregatedNewspapers,"Irish Company News",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",10/01/1997,,,,,,,
aggregatedNewspapers3882,AggregatedNewspapers,"Irish Independent",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",09/13/1997,,,,,,,
aggregatedNewspapers3883,AggregatedNewspapers,"Irish Marketing and Advertising Journal",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",07/01/1997,08/26/2004,,,,,,
aggregatedNewspapers3884,AggregatedNewspapers,"Irish Reported and Unreported Cases",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3885,AggregatedNewspapers,"Irish Voice",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2003,,,,,,,
aggregatedNewspapers3886,AggregatedNewspapers,"Irradiation: A Safe Measure for Safer Food",,"Lexis-Nexis","English","Full-text","Full-text",06/01/1998,,,,,,,
aggregatedNewspapers3887,AggregatedNewspapers,"ISDN News",,"Lexis-Nexis","English","Full-text","Full-text",01/30/1996,11/17/1998,,,,,,
aggregatedNewspapers3888,AggregatedNewspapers,"Islamic extremists: How do they mobilize support?",,"Lexis-Nexis","English","Full-text","Full-text",07/01/2002,,,,,,,
aggregatedNewspapers3889,AggregatedNewspapers,"Islamic Horizons",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2003,,,,,,,
aggregatedNewspapers3890,AggregatedNewspapers,"ISP Business News",,"Lexis-Nexis","English","Full-text","Full-text",05/18/1998,08/06/2001,,,,,,
aggregatedNewspapers3891,AggregatedNewspapers,"ISS Corporate Governance Quotient Profiles",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3892,AggregatedNewspapers,"ISS Proxy Research Reports",,"Lexis-Nexis","English","Full-text","Full-text",02/02/2004,,,,,,,
aggregatedNewspapers3893,AggregatedNewspapers,"ISS Securities Class Action Services",,"Lexis-Nexis","English","Full-text","Full-text",,,,,,,,
aggregatedNewspapers3894,AggregatedNewspapers,"IT Architect",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2001,03/01/2006,,,,,,
aggregatedNewspapers3895,AggregatedNewspapers,"IT Contracts",,"Lexis-Nexis","English","Full-text","Full-text",12/01/1995,02/01/1999,,,,,,
aggregatedNewspapers3896,AggregatedNewspapers,"Item Processing Report",,"Lexis-Nexis","English","Full-text","Full-text",02/15/1996,,,,,,,
aggregatedNewspapers3897,AggregatedNewspapers,"Ivey Business Quarterly",,"Lexis-Nexis","English","Indexes","Indexes",09/01/1997,12/01/1998,,,,,,
aggregatedNewspapers3898,AggregatedNewspapers,"Jack O'Dwyer's Newsletter",,"Lexis-Nexis","English","Full-text","Full-text",01/04/1989,,,,,,,
aggregatedNewspapers3899,AggregatedNewspapers,"Jackson Advocate",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",08/30/2001,,,,,,,
aggregatedNewspapers3900,AggregatedNewspapers,"JAGfn.com",,"Lexis-Nexis","English","Full-text","Full-text",09/02/2003,,,,,,,
aggregatedNewspapers3901,AggregatedNewspapers,"Jane's Defence Weekly Abstracts",,"Lexis-Nexis","English","Abstract-Summaries-Briefs","Abstract-Summaries-Briefs",01/02/2002,,,,,,,
aggregatedNewspapers3902,AggregatedNewspapers,"Japan's ""Economic Miracle"": What Happened?",,"Lexis-Nexis","English","Full-text","Full-text",03/01/2000,,,,,,,
aggregatedNewspapers3903,AggregatedNewspapers,"Java Entrepreneur",,"Lexis-Nexis","English","Full-text","Full-text",01/01/2006,,,,,,,
aggregatedNewspapers3904,AggregatedNewspapers,"JavaWorld",,"Lexis-Nexis","English","Full-text","Full-text",03/01/1996,04/01/2001,,,,,,
aggregatedNewspapers3905,AggregatedNewspapers,"JCK-Jewelers Circular Keystone",,"Lexis-Nexis","English","Full-text","Full-text",10/01/2000,,,,,,,
aggregatedNewspapers3906,AggregatedNewspapers,"JCK's High-Volume Jeweler",,"Lexis-Nexis","English","Selected Full-text","Selected Full-text",11/01/1999,,,,,,,
