guid,nyu.libraries.collection,dc.title,dc.identifier,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.controlled,dc.description
dataServices190,DataServices,WRDS: Wharton Research Database Service,http://wrds.wharton.upenn.edu/connect,Economic,Market Data,,,,,Business & Economics (US),"Wharton Research Database Services is an internet-based business data service from the Wharton School at the University of Pennsylvania. WRDS data consists of historical financial information for banks, government bonds, stock exchanges, and major companies. It is intended solely for research and instructional purposes. New York University faculty, administrators, staff, and PhD students are allowed to have a WRDS account. In addition, students may request a Research Assistant account for a limited time if they are doing research with a faculty member. Faculty may request accounts for classes."
dataServices191,DataServices,Council of European Social Science Data Archives (CESSDA),http://www.cessda.org/accessing/catalogue/,Data Archive,,,,,,Data Archives,"The CESSDA Data Portal provides a seamless interface to datasets from 13 social science data archives across Europe. The Data Portal builds on the work of the EU funded project MADIERA. The project was based on the DDI (Data Documentation Initiative) specifications for documenting datasets, the ELSST thesaurus enabling multilingual functionality, and the Nesstar technology providing functionality for browsing and analysing data."
dataServices192,DataServices,UK Data Archive,http://www.data-archive.ac.uk/find,Data Archive,,,,,,Data Archives,"The UK Data Archive (UKDA) is a centre of expertise in data acquisition, preservation, dissemination and promotion and is curator of the largest collection of digital data in the social sciences and humanities in the UK. It is funded by the Economic and Social Research Council (ESRC), the Joint Information Systems Committee (JISC) of the Higher Education Funding Councils and the University of Essex. Founded in 1967, it now houses several thousand datasets of interest to researchers in all sectors and from many different disciplines."
dataServices193,DataServices,Economic and Social Data Service (ESDS) Qualidata,http://www.esds.ac.uk/qualidata/access/datasearch.asp,Data Archive,,,,,,Data Archives,The service provides access and support for a range of social science qualitative datasets produced in the UK.
dataServices194,DataServices,CEIC Data Manager,https://arch.library.nyu.edu/databases/proxy/NYU03589,International Markets,Asia,,,,,Business & Economics (Intl),"CEIC Databases specialise in covering Asian and China macro-economic, Industrial and Financial time-series data sourced by direct data distribution."
dataServices195,DataServices,Historical Census Browser (University of Virginia),http://mapserver.lib.virginia.edu/,census,,,,,,Population & Demography,"The data and terminology presented in the Historical Census Browser are drawn directly from historical volumes of the U.S. Census of Population and Housing,1790-1960."
dataServices196,DataServices,ReferenceUSA,https://arch.library.nyu.edu/databases/proxy/NYU02489,,,,,,,Population & Demography,"The Reference USA database contains detailed information on more than 14 million US businesses, 210 million US residents, 855,000 US health care providers."
dataServices197,DataServices,IndiaStat,https://arch.library.nyu.edu/databases/proxy/NYU02538,,,,,,,Population & Demography,"IndiaStat.com is a cluster of 51 sites including India-specific, Sector specific and State specific sites rendering its dedicated services to the research fraternity from academic, professional and corporate world with authentic and comprehensive compilation of secondary level socio-economic statistical data about India and its states on more than 35 variables. **Click on ""IP LOGIN"" button to authenticate."
dataServices198,DataServices,SimplyMap,https://arch.library.nyu.edu/databases/proxy/NYU02608,,,,,,,Business & Economics (US),"SimplyMap is a web-based mapping application with access to thousands of demographic, business, and marketing data variables that can be used to develop interactive thematic maps and export high-resolution images to word processing or presentation software. Individual registrations are required."
dataServices200,DataServices,UN Data,http://data.un.org/,,,,,,,Data Archives,"UNData contains over 55 million data points covering a wide range of themes including Agriculture, Education, Employment, Energy, Environment, Health, HIV/AIDS, Human Development, Industry, Information and Communication Technology, National Accounts, Population, Refugees, Tourism, Trade, as well as the Millennium Development Goals indicators."
dataServices201,DataServices,Africa Development Indicators (World Bank),https://ezproxy.library.nyu.edu/login?url=http://ddp-ext.worldbank.org/ext/DDPQQ/member.do?method=getMembers&userid=1&queryId=175,,,,,,,Population & Demography,"Contains over 1,000 indicators and time series from 1965 for 53 countries. Data include social, economic, financial, natural resources, infrastructure, governance, partnership, and environmental indicators. Results can be scaled, mapped, and charted."
dataServices203,DataServices,TableBase,https://arch.library.nyu.edu/databases/proxy/NYU02386,,,,,,,Business & Economics (Intl),"RDS TableBase covers more than 90 industries and is international in scope. The tables provide information such as: market share, market size, capacity, production, imports, exports, sales, product and brand rankings, forecasts, healthcare statistics and demographics."
dataServices204,DataServices,USATrade Online (STAT-USA),https://arch.library.nyu.edu/databases/proxy/NYU04344,,,,,,,Business & Economics (US),"Access current and cumulative U.S. export and import data for over 18,000 export commodities and 24,000 import commodities. USA Trade Online provides trade statistics using the Harmonized System (HS) up to the 10-digit level and the North American Industry Classification System (NAICS) commodity classification codes up to the 6-digit level. "
dataServices205,DataServices,Geolytics CensusCD 2000 Long Form,https://arch.library.nyu.edu/databases/proxy/NYU04273,,,,,,,Population & Demography,"Census 2000 Long Form is the most complete source of detailed information about the people, housing, and economy of the United States. This dataset contains variables such as income, housing, employment, language spoken, ancestry, education, poverty, rent, mortgage, commute to work, etc. There are 5,500 variables at the Block Group level and over 10,000 more variables at the larger geographies such as tract, zip code, county and state level. The dataset includes all of the available cross-tabulated variables (income by age, employment by race) released by the US Census Bureau. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices206,DataServices,Geolytics CensusCD 1990 in 2000 geographies,https://arch.library.nyu.edu/databases/proxy/NYU04271,,,,,,,Population & Demography,"CensusCD 1990 in 2000 Boundaries allows users to access US Census data from 1990 and easily compare it with the 2000 Census data by expressing 1990 Census Long Form (STF3) dataset in all of the 2000 Long Form geographies. It includes detailed demographic data about topics such as population, household structure, income, poverty, education level, employment, housing costs, immigration, and other variables. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices207,DataServices,Geolytics CensusCD 1980 in 2000 geographies,https://arch.library.nyu.edu/databases/proxy/NYU04272,,,,,,,Population & Demography,"CensusCD 1980 in 2000 Boundaries allows users to access US Census data from 1980 and easily compare it with the 2000 Census data by expressing 1980 Census Long Form (STF3) and Short Form (STF1) datasets in all of the 2000 Long Form geographies. It includes detailed demographic data about topics such as population, household structure, income, poverty, education level, employment, housing costs, immigration, and other variables. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices208,DataServices,Geolytics Neighborhood Change Database  ,https://arch.library.nyu.edu/databases/proxy/NYU04276,,,,,,,Population & Demography,"Neighborhood Change Database (NCDB) gives users access to US Census data from 1970, 1980, 1990 and 2000 at the census tract level, with the additional option to access data for all four decades normalized to 2000 tract boundaries. This lets you view and display data as if the 2000 tracts existed and all the data is weighted to these areas. Variables include population, household, and housing characteristics, income, poverty status, education level, employment, housing costs, immigration, and others. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices209,DataServices,Geolytics CensusCD 1970,https://arch.library.nyu.edu/databases/proxy/NYU04275,,,,,,,Population & Demography,"1970 Census Long Form data with over 5,000 variables. It has data and mapping capabilities for counties and tracts, and data only for MCDs and places. The country was not fully tracted in 1970; there is no tract data available in untracted areas. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices210,DataServices,Geolytics CensusCD 1990 long form,https://arch.library.nyu.edu/databases/proxy/NYU04274,,,,,,,Population & Demography,"Complete 1990 Census Long Form (STF3) census data, plus a built-in mapping function. Includes about 3500 variables and 11 boundaries such as tracts, block groups, zip codes, MSA and more. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices211,DataServices,Arthur S. Banks Cross-National Time-Series Data Archive,,,,,,,,Population & Demography,"The Cross-National Time-Series Data Archive provides annual data for a range of countries from 1815 to the present covering demographics, economy, education, and politics. To access this data, please contact the Data Service Studio at data.service@nyu.edu."
dataServices218,DataServices,Foundation Center Statistics on Grants and Grantmakers,http://foundationcenter.org/findfunders/,,,,,,,Business & Economics (US),"Access national, state, and metropolitan area data on U.S. foundations and their grants. Find out the assets and giving of the nation's grantmaking foundations, learn how they distribute their grant dollars, and identify the top recipients of their gifts."
dataServices219,DataServices,EM-DAT: The International Disaster Database,http://www.emdat.be/advanced-search,,,,,,,Science & Technology,"Information on the human impact of disasters, such as the number of people killed, injured or affected, as well as disaster-related economic damage estimates and disaster-specific international aid contributions. From the Centre for Research on the Epidemiology of Disasters (CRED)."
dataServices220,DataServices,Survey of Income and Program Participation,http://www.census.gov/sipp/index.html,,,,,,,Policy & Political Science,"The Survey of Income and Program Participation, produced by the US Census Bureau, provides information about the income and program participation of individuals and households in the United States, and about the principal determinants of income and program participation. SIPP data allow the government to evaluate the effectiveness of federal, state, and local programs."
dataServices221,DataServices,National Center for Charitable Statistics,http://nccs.urban.org/index.cfm,,,,,,,Business & Economics (US),"The National Center for Charitable Statistics (NCCS) is the national repository of data on the nonprofit sector in the United States. Working closely with the IRS and other government agencies, private sector service organizations, and the scholarly community, NCCS builds compatible national, state, and regional databases and develops uniform standards for reporting on the activities of charitable organizations."
dataServices222,DataServices,Voteworld,http://voteworld.berkeley.edu/index.html,,,,,,,Policy & Political Science,"The aim of this website is to archive, maintain, and distribute datasets of roll-call voting from legislative bodies throughout the international community."
dataServices223,DataServices,National Opinion Research Center (NORC) Data Enclave,http://www.norc.uchicago.edu/DataEnclave/default.htm,,,,,,,Data Archives,"The NORC Data Enclave is a secure, virtual environment for storing and analyzing sensitive microdata, including the Making Connections Survey, the the Survey of Earned Doctorates (SED), the Kauffman Firm Survey (KFS), the surveys of NIST's Technology Innovation Program (formerly Advanced Technology Program), and the USDA's Agricultural Resource Management Survey (ARMS). "
dataServices224,DataServices,Health and Retirement Study (HRS),http://hrsonline.isr.umich.edu/,,,,,,,"Health, Nursing & Nutrition","The University of Michigan Health and Retirement Study (HRS) surveys more than 22,000 Americans over the age of 50 every two years. With data going back to 1992, the study paints an emerging portrait of an aging America's physical and mental health, insurance coverage, financial status, family support systems, labor market status, and retirement planning."
dataServices225,DataServices,Annual Economic Surveys (US Census Bureau),http://www.census.gov/econ/other_econ.html,,,,,,,Business & Economics (US),"Annual economic surveys cover selected sectors of the U.S. economy and feature industry and geographic statistics that supplement those published in the economic census. Data are available at the national level, and in some cases, for states, metro areas and counties. These surveys provide interim information that is critical for understanding changes in the nation's economic structure and performance. "
dataServices226,DataServices,Local Employment Dynamics (US Census Bureau),http://lehd.did.census.gov/led/index.php,,,,,,,Business & Economics (US),Local Employment Dynamics utilizes data from the Longitudinal Employer-Household Dynamics program to create a variety of products such as Quarterly Workforce Indicators (QWI) and Industry Focus for local area data.
dataServices227,DataServices,"Federal, State, and Local Governments (US Census Bureau)",http://www.census.gov/govs/,,,,,,,Policy & Political Science,"The US Census Bureau's Governments programs cover a variety of information about agencies at federal, state, and local levels. Datasets include the Census of Governments, Directory Survey of Local Governments, Annual Survey of State and Local Government Finances, and others."
dataServices228,DataServices,Current Population Survey (CPS),http://www.bls.gov/cps/,,,,,,,Business & Economics (US),"The Current Population Survey (CPS) is a monthly survey of households conducted by the Bureau of Census for the Bureau of Labor Statistics. It provides a comprehensive body of data on the labor force, employment, unemployment and persons not in the labor force. "
dataServices229,DataServices,Population Estimates Program (US Census Bureau),http://www.census.gov/popest/estimates.html,,,,,,,Population & Demography,"The Population Estimates Program publishes total resident population estimates and demographic components of change (births, deaths, and migration) each year, plus estimates by demographic characteristics (age, sex, race, and Hispanic origin) for the nation, states, and counties."
dataServices230,DataServices,Bureau of Economic Analysis (BEA),http://www.bea.gov/,,,,,,,Business & Economics (US),"The BEA prepares national, regional, industry, and international accounts that present essential information on such key issues as economic growth, regional economic development, interindustry relationships, and the Nation's position in the world economy. "
dataServices231,DataServices,National Archaeological Database,http://www.cast.uark.edu/other/nps/nadb/,,,,,,,Geographic Information Systems,"The National Archeological Database, Reports module, is an expanded bibliographic inventory of over 350,000 reports and maps (including GIS layers) on archeological investigation and planning, mostly of limited circulation."
dataServices232,DataServices,Social Explorer,http://getit.library.nyu.edu/go/993608,,,,,,,Population & Demography,"Social Explorer allows users to visually display demographic data in the U.S. from 1790 through the present at a variety of geographic levels, create reports, maps, and animations that can be downloaded. NYU subscribes to Social Explorer premium service, which includes full tract and county-level historical datasets."
dataServices233,DataServices,MEASURE DHS (Demographic and Health Surveys),http://www.measuredhs.com,,,,,,,"Health, Nursing & Nutrition","Since 1984, the MEASURE DHS (Demographic and Health Surveys) project has provided technical assistance to more than 240 surveys in over 85 countries, advancing global understanding of health and population trends in developing countries. DHS has earned a worldwide reputation for collecting and disseminating accurate, nationally representative data on fertility, family planning, maternal and child health, gender, HIV/AIDS, malaria, and nutrition. The MEASURE DHS project is funded by the U.S. Agency for International Development (USAID)."
dataServices234,DataServices,Integrated Network for Societal Conflict Research (INSCR),http://www.systemicpeace.org/inscr/inscr.htm,,,,,,,Policy & Political Science,"A database established to coordinate and integrate information resources produced and used by the Center for Systemic Peace, generated and/or compiled using open source information. Includes Armed Conflict and Intervention (ACI) Datasets, Polity IV: Regime Authority Characteristics and Transitions Datasets, State Fragility Index and Matrix, and Conflict in India Datasets."
dataServices235,DataServices,World Telecommunication/ICT Indicators Database Online,,,,,,,,Business & Economics (Intl),"The World Telecommunication/ICT Indicators Database contains time series data for the years 1960, 1965, 1970 and annually from 1975 to 2009 for around one hundred telecommunication/ICT statistics covering fixed and mobile telephone network size and dimension, Internet, quality of service, traffic, staff, tariffs, revenue and investment. To access this data, please contact the Data Service Studio at data.service@nyu.edu."
dataServices236,DataServices,Global Peace Index (GPI),http://www.visionofhumanity.org/gpi-data/,,,,,,,Policy & Political Science,"The Institute for Economics and Peace, in conjunction with the Economist Intelligence Unit and with the guidance of an international team of academics and peace experts, has compiled the Global Peace Index (GPI). The Index is composed of 23 indicators, ranging from a nationís level of military expenditure to its relations with neighbouring countries and the level of respect for human rights. "
dataServices237,DataServices,NYU Furman Center for Real Estate and Urban Policy Data Search Tool,http://datasearch.furmancenter.org/,,,,,,,Policy & Political Science,"The Furman Center for Real Estate and Urban Policy collects a broad array of data on demographics, neighborhood conditions, transportation, housing stock and other aspects of the New York City real estate market. Their data is directly available to the public through their Data Search Tool, and comprehensive analyses of these data are published in periodic reports (also available on the website)."
dataServices238,DataServices,MapPLUTO,,,,,,,,Geographic Information Systems,"MapPLUTO merges PLUTO tax lot data with tax lot features from the Department of Financeís Digital Tax Map (DTM), clipped to the shoreline. It contains extensive land use and geographic data at the tax lot level in ESRI ArcGIS shape format and dbase table format. March 2011 - September 2011 version covering all five NYC boroughs. To access this data, please contact the Data Service Studio at data.service@nyu.edu."
dataServices239,DataServices,Gallup WorldView,https://arch.library.nyu.edu/databases/database/NYU03525,,,,,,,Area & Cultural Studies,"This statistics tool compares citizens' responses, region by region, nation by nation, to questions of vital importance to the world today, on topics such as economic conditions, government and business, healthcare and well-being, infrastructure and education. Aggregate data is also available to download."
dataServices240,DataServices,Carolina Population Center Research Projects,http://www.cpc.unc.edu/research/projects,,,,,,,Data Archives,"Provides descriptions and links for variety of population research projects, many of which have data available for download."
dataServices241,DataServices,International Database (IDB) - US Census Bureau,http://www.census.gov/population/international/data/idb/informationGateway.php,,,,,,,Population & Demography,"The International Data Base (IDB) offers a variety of demographic indicators for countries and areas of the world with a population of 5,000 or more. The IDB has provided access to demographic data for over 25 years to governments, academics, other organizations, and the public."
dataServices242,DataServices,US Census Bureau Index of International Statistical Agencies ,http://www.census.gov/population/international/links/stat_int.html,,,,,,,Area & Cultural Studies,Provides links to national statistical agencies for more than 200 countries.
dataServices243,DataServices,European Social Survey (ESS),http://ess.nsd.uib.no/,,,,,,,Area & Cultural Studies,"The European Social Survey (the ESS) is an academically-driven social survey designed to chart and explain the interaction between Europe's changing institutions and the attitudes, beliefs and behaviour patterns of its diverse populations. Currently in its fifth round and preparing for a sixth, the survey covers more than thirty nations and employes the most rigorous methodologies. "
dataServices244,DataServices,Caucasus Barometer,http://crrccenters.org/caucasusbarometer/overview/,,,,,,,Area & Cultural Studies,"The Caucasus Barometer collects comparable data on household composition, social and political attitudes, and practices across the South Caucasus. Since 2006, the survey has been carried out based on a representative nationwide sample excluding territories affected by military conflicts. "
dataServices245,DataServices,World Values Survey,http://www.wvsevsdb.com/wvs/WVSData.jsp,,,,,,,Area & Cultural Studies,"The World Values Survey (WVS) is a worldwide network of social scientists studying changing values and their impact on social and political life. The WVS in collaboration with EVS (European Values Study) carried out representative national surveys in 97 societies containing almost 90 percent of the world's population. These surveys show pervasive changes in what people want out of life and what they believe. In order to monitor these changes, the EVS/WVS has executed five waves of surveys, from 1981 to 2007."
dataServices246,DataServices,European Values Survey,http://www.europeanvaluesstudy.eu/evs/surveys/,,,,,,,Area & Cultural Studies,"The European Values Study (started in 1981) is a large-scale, cross-national, and longitudinal survey research program on basic human values. It provides insights into the ideas, beliefs, preferences, attitudes, values and opinions of citizens all over Europe. It is a unique research project on how Europeans think about life, family, work, religion, politics and society. "
dataServices247,DataServices,World Bank: Living Standards Measurement Survey ,http://iresearch.worldbank.org/lsms/lsmssurveyFinder.htm,,,,,,,Policy & Political Science,"The Living Standards Measurement Study (LSMS) is a research project that was initiated in 1980 to improve household survey data in developing countries. The program is designed to assist policy makers in their efforts to identify how policies could be designed and improved to positively affect outcomes in health, education, economic activitgies, housing and utilities, etc."
dataServices248,DataServices,UNICEF: ChildInfo: Monitoring the Situation of Children and Women,http://www.childinfo.org/index.html,,,,,,,"Health, Nursing & Nutrition","Data from a number of survey programs including Multiple Indicator Cluster Surveys (MICS) on topics such as Child Survival and Health, Child Nutrition, Maternal Health, Newborn Care, Water & Sanitation, Education, Child Protection, HIV/AIDS, Millenium Development Goals. Browse by country, topic, or table."
dataServices249,DataServices,GESIS Index of Cross-National Survey Programmes,http://www.gesis.org/en/institute/competence-centers/rdc-international-survey-programmes/data-references/,,,,,,,Area & Cultural Studies,Provides a historical overview of and references to cross-national survey programmes with focus on individual level population samples. 
dataServices250,DataServices,CIRI Human Rights Data Project,http://ciri.binghamton.edu/,,,,,,,Policy & Political Science,"The Cingranelli-Richards (CIRI) Human Rights Dataset contains standards-based quantitative information on government respect for 15 internationally recognized human rights for 195 countries, annually from 1981-2010. "
dataServices251,DataServices,InfoMap India,,,,,,,,Geographic Information Systems,"India GIS data in ESRI SHP format. IndiaMap includes socio-demographic and economic Census data for 2001 at the State, District, Sub-District, and Town levels. To access this data, please contact the Data Service Studio at data.service@nyu.edu."
dataServices252,DataServices,NYU Spatial Data Repository,http://nyu.libguides.com/content.php?pid=169769&sid=1489817,,,,,,,Geographic Information Systems,NYU's Spatial Data Repository provides access to many licensed and publicly available GIS datasets to members of the NYU community. 
dataServices253,DataServices,Multiple Indicator Cluster Survey (MICS),http://www.unicef.org/statistics/index_24302.html,,,,,,,Policy & Political Science,"The UNICEF-supported Multiple Indicator Cluster Surveys (MICS) is a source of global development data.  Topics covered include health, education, child protection, the social and economic situation of women, HIV/AIDS and mortality among others.  MICS has enabled many countries to produce statistically sound and internationally comparable estimates of a range of indicators.  MICS findings have been used extensively as a basis for policy decisions and program interventions."
dataServices254,DataServices,The Russia Longitudinal Monitoring Survey -- Higher School of Economics (RLMS),http://www.cpc.unc.edu/projects/rlms-hse,,,,,,,Area & Cultural Studies,"The Russia Longitudinal Monitoring Survey (RLMS), a nationally representative, household based survey.  It is designed to measure systematically the effects of Russian reforms on the economic well-being of households and individuals.  It is available through the Carolina Population Center at the University of North Carolina at Chapel Hill.  Effects are measured by a variety of means including detailed monitoring of individuals' health status and dietary intake, precise measurement of household-level expenditures and service utilization, and collection of relevant community-level data.  Data have been collected 19 times since 1992. "
dataServices255,DataServices,CQ Voting & Elections Collection,https://arch.library.nyu.edu/databases/proxy/NYU00619,,,,,,,Policy & Political Science,"Integrates a wealth of data, authoritative analyses, concise explanations, and historical material to provide a powerful research and reference tool on the American voter, major and minor political parties, campaigns and elections, and historical and modern races for Congress, the presidency, and governorships. "
dataServices256,DataServices,LatinobarÛmetro / Latino Barometer,http://www.latinobarometro.org/latino/latinobarometro.jsp,,,,,,,Area & Cultural Studies,"LatinobarÛmetro is an annual public opinion survey that involves some 19,000 interviews in 18 Latin American countries, representing more than 400 million inhabitants. "
dataServices257,DataServices,LAPOP: Americas Barometer,https://arch.library.nyu.edu/databases/proxy/NYU04072,,,,,,,Area & Cultural Studies,"The Latin American Public Opinion Project (LAPOP) specializes in the development, implementation, and analysis of public opinion surveys. Since the 1970s, LAPOP has gathered a treasure-trove of databases containing political perspectives from Latin America and the Caribbean."
dataServices258,DataServices,Geolytics Census 2010 Summary File 1,https://arch.library.nyu.edu/databases/proxy/NYU04294,,,,,,,Population & Demography,"100-percent data counts from Census 2010 with both demographic profiles, summary files of aggregated data, and reports. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices259,DataServices,Geolytics Census 2010 Redistricting ,https://arch.library.nyu.edu/databases/proxy/NYU04293,,,,,,,Population & Demography,"Counts of the total population from Census 2010 for a variety of geographic areas to be used for the Public Law (P.L.) 94-171 redistricting process. In addition, other data items such as race, ethnicity, voting age and housing unit tallies are included in this data set. Export data as dbf, ASCII, shapefile, or mid/mif files."
dataServices260,DataServices,North American Jewish Databank,https://arch.library.nyu.edu/databases/proxy/NYU02952,,,,,,,Philosophy & Religion,"The North American Jewish Data Bank is the central repository of social scientific studies of North American Jewry.The Data Bank archives and makes available electronically questionnaires, reports and data files from the National Jewish Population Surveys (NJPS) of 1971, 1990 and 2000-01. The Data Bank is the sole distributor of the NJPS 2000-01 dataset, and has archived a large collection of related materials. Also provides access to other national Jewish population reports and approximately 200 local Jewish community studies from the major Jewish communities in North America."
dataServices261,DataServices,PRS Country Data,https://arch.library.nyu.edu/databases/proxy/NYU02468,,,,,,,Business & Economics (Intl),"Detailed political risk rankings, economic indicators and forecasts for over 160 countries."
dataServices262,DataServices,Tourism Decision Metrics,https://arch.library.nyu.edu/databases/proxy/NYU03765,,,,,,,Business & Economics (Intl),"Detailed information for over 180 countries, including more than twenty years of historical data and forecasts."
dataServices263,DataServices,Thomson ONE Banker,https://arch.library.nyu.edu/databases/proxy/NYU03880,,,,,,,Business & Economics (US),"Thomson ONE Banker provides access to financial data on public companies, as well as merger and acquisition information and market data. **This resource should be used with Internet Explorer only and an NYU NetID and Password is required."
dataServices264,DataServices,GTD: Global Terrorism Database,http://www.start.umd.edu/gtd/,,,,,,,Policy & Political Science,"The Global Terrorism Database (GTD) is an open-source database including information on terrorist events around the world from 1970 through 2010 (with annual updates planned for the future) and includes more than 98,000 cases. Individuals can request to download the full database."
dataServices265,DataServices,NOAA National Climatic Data Center,http://www.ncdc.noaa.gov/,,,,,,,Science & Technology,NOAA's National Climatic Data Center (NCDC) is the world's largest repository of weather and climate data and information. Data sources are as varied as paleoclimatic samples to handwritten observations to satellite and radar imagery less than an hour old. 
dataServices266,DataServices,Proquest Statistical Datasets,https://arch.library.nyu.edu/databases/proxy/NYU02619,,,,,,,Data Archives,"Statistical Datasets is a web-based tool that provides fast and easy access to data from licensed and public domain datasets within an easy to use interface. Includes international coverage of a wide variety of topics including business/finance, marketing, education, social indicators, health, demographics, and more. **Access Statistical Datasets in the ""Related Subscriptions"" dropdown menu within Statistical Insight."
